Show,id,lead,mvotes,maverage,fvotes,faverage,difference,label
Friends,108778,mix,275905,8.869085374,119587,9.209654896,-0.340569522,Friends
Mozart in the Jungle,3502172,M,5919,8.156107451,4119,8.563971838,-0.407864387,
Sex and the City,159206,F,28235,5.983247742,40657,8.237622058,-2.254374316,Sex and the City
Castle,1219024,M,59951,8.318309953,38669,8.621815925,-0.303505972,
Michael J Fox Show,2338232,M,2859,6.834557538,1088,7.113051471,-0.278493933,
Everybody Hates Chris,460637,M,18922,7.580329775,5620,7.792704626,-0.212374851,
How I Met Your Mother,460649,mix,278150,8.488783031,100386,8.54349212,-0.05470909,HIMYM
The Mindy Project,2211129,F,6291,6.644412653,11723,8.288833916,-1.644421263,Mindy Project
Brooklyn Nine-Nine,2467372,mix,41721,8.358069078,12847,8.431462598,-0.07339352,
Living Single,106056,F,1113,6.839173405,1222,8.410801964,-1.571628559,
Seinfeld,98904,M,122880,8.791935221,24367,8.313046333,0.478888888,Seinfeld
Sports Night,165961,M,3954,8.439554881,1123,8.633125557,-0.193570675,
"True Jackson, VP",1131751,F,848,5.396226415,950,6.88,-1.483773585,
The Flight of the Conchords,863046,M,30718,8.721075591,7959,8.891318005,-0.170242414,
Ugly Betty,805669,F,13657,6.456542432,17806,7.689599012,-1.233056579,Ugly Betty
The Nanny,106080,F,13185,6.650284414,11960,7.861705686,-1.211421272,
What I Like About You,321018,F,3637,6.422051141,6106,7.502620373,-1.080569232,
The Wayans Bros.,112220,M,2180,7.543119266,624,7.621794872,-0.078675606,
Will and Grace,157246,mix,18150,7.092727273,13786,7.993616713,-0.90088944,Will and Grace
Bored to Death,1255913,M,20196,8.017033076,4632,8.039291883,-0.022258807,
Grounded for Life,255734,mix,7606,7.602550618,3330,7.942942943,-0.340392325,
News Radio,112095,mix,7505,8.057161892,1873,7.875600641,0.181561251,
Girls,1723816,F,18115,6.952470328,23851,7.865959499,-0.91348917,Girls
Less Than Perfect,320052,F,1358,7.090574374,948,7.771097046,-0.680522672,
Master of None,4635276,M,17615,8.257564576,4510,8.254545455,0.003019121,Master of None
Broad City,2578560,F,7216,8.101856984,5388,8.767817372,-0.665960387,Broad City
Caroline in the City,111910,F,1316,6.183890578,813,6.841328413,-0.657437836,
Everybody Loves Raymond,115167,M,33361,7.30427745,10773,7.260558804,0.043718645,Raymond
Jessie,1865769,F,2956,5.974966171,2687,6.605880164,-0.630913993,
Manhattan Love Story,3514886,mix,1429,6.924422673,2733,7.582144164,-0.657721491,
Nurse Jackie,1190689,F,9204,7.600391134,7844,8.187404386,-0.587013251,Nurse Jackie
Becker,174378,mix,6693,7.519049753,1604,7.465087282,0.053962472,
Rules of Engagement,790772,mix,17048,7.535898639,5911,7.39773304,0.138165599,
Spin City,115369,M,15381,7.497887003,3473,7.308378923,0.18950808,
How to Make it in America,1299365,M,10052,8.233485873,1970,7.954822335,0.278663538,
Just Shoot Me!,118364,mix,8617,7.03516305,3340,7.281736527,-0.246573477,
The King of Queens,165581,M,42190,7.657975824,10407,7.357932161,0.300043663,King of Queens
Louie,1492966,M,43742,8.63147547,7192,8.296579533,0.334895937,Louie
Mad About You,103484,mix,9050,6.599337017,4557,7.107746324,-0.508409308,Mad About You
Mad Love,1684910,mix,2635,7.038330171,897,6.971014493,0.067315678,
Don't Trust the B in Apartment 23,1819509,F,10756,7.277891409,10886,7.613264744,-0.335373334,
30 Rock,496424,F,60463,8.235482857,21022,8.48368376,-0.248200903,30 Rock
Unbreakable Kimmy Schmidt,3339966,F,16742,7.904730618,10740,8.119459963,-0.214729345,Kimmy Schmidt